Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Additional Number ,From Last,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50
3766,19/5/2022,5,8,13,20,21,46,31,"21,46",3,3,2,2,1,0,1
3765,16/5/2022,21,22,40,41,42,46,9,"41,46",2,4,0,0,2,1,3
3764,12/5/2022,15,20,36,38,41,46,10,15,2,4,0,2,0,2,2
3763,9/5/2022,5,12,15,21,30,39,6,39,4,2,1,2,2,1,0
3762,5/5/2022,7,13,35,39,41,45,1,35,6,0,1,1,0,2,2
3761,2/5/2022,12,14,23,32,35,38,13,,2,4,0,2,1,3,0
3760,28/4/2022,5,6,11,16,22,37,44,"6,16",3,3,2,2,1,1,0
3759,25/4/2022,6,16,26,32,39,47,23,"16,32",2,4,1,1,1,2,1
3758,21/4/2022,13,16,19,32,38,43,20,,3,3,0,3,0,2,1
3757,18/4/2022,12,20,33,39,42,48,49,,2,4,0,2,0,2,2
3756,14/4/2022,4,6,23,26,29,30,36,,2,4,2,0,4,0,0
3755,11/4/2022,2,12,18,27,36,49,6,,2,4,1,2,1,1,1
3754,7/4/2022,1,7,10,28,31,44,9,"28,31",3,3,3,0,1,1,1
3753,4/4/2022,14,15,28,31,40,42,44,,2,4,0,2,1,2,1
3752,31/3/2022,1,4,10,22,24,45,47,10,2,4,3,0,2,0,1
3751,28/3/2022,5,9,10,12,39,44,14,12,3,3,3,1,0,1,1
3750,24/3/2022,3,12,15,22,34,45,2,22,3,3,1,2,1,1,1
3749,21/3/2022,1,20,22,23,24,31,2,,3,3,1,1,3,1,0
3748,17/3/2022,5,7,30,42,47,49,17,"47,49",4,2,2,0,1,0,3
3747,14/3/2022,19,37,38,45,47,49,25,45,5,1,0,1,0,2,3
3746,10/3/2022,1,8,25,32,45,46,44,,3,3,2,0,1,1,2
3745,7/3/2022,19,22,24,28,29,42,40,24,2,4,0,1,4,0,1
3744,3/3/2022,8,13,24,30,40,44,45,,1,5,1,1,2,1,1
3743,28/2/2022,1,9,20,27,37,49,33,,5,1,2,1,1,1,1
3742,24/2/2022,4,11,15,25,41,48,14,,4,2,1,2,1,0,2
3741,21/2/2022,1,19,22,27,37,44,25,"1,19,37",4,2,1,1,2,1,1
3740,17/2/2022,1,4,19,35,37,45,49,37,5,1,2,1,0,2,1
3739,14/2/2022,10,23,29,33,37,43,8,,5,1,1,0,2,2,1
3738,11/2/2022,9,13,14,16,18,28,10,28,2,4,1,4,1,0,0
3737,7/2/2022,1,11,17,28,32,35,44,"28,32",4,2,1,2,1,2,0
3736,3/2/2022,15,28,31,32,44,49,18,,3,3,0,1,1,2,2
3735,31/1/2022,5,6,10,22,23,40,38,,2,4,3,0,2,1,0
3734,27/1/2022,7,21,27,30,32,34,39,32,3,3,1,0,3,2,0
3733,24/1/2022,1,8,10,31,32,38,39,38,2,4,3,0,0,3,0
3732,21/1/2022,2,4,11,13,28,38,49,"4,13",2,4,2,2,1,1,0
3731,17/1/2022,4,13,26,31,33,35,29,"26,35",4,2,1,1,1,3,0
3730,13/1/2022,3,6,18,20,26,35,34,,2,4,2,2,1,1,0
3729,10/1/2022,8,11,17,21,30,44,48,"8,11,44",3,3,1,2,2,0,1
3728,7/1/2022,3,8,11,20,44,49,32,20,3,3,2,2,0,0,2
3727,3/1/2022,6,12,20,33,46,47,49,12,2,4,1,2,0,1,2
3726,30/12/2021,4,7,12,13,21,35,29,13,4,2,2,2,1,1,0
3725,27/12/2021,3,9,13,23,24,44,7,44,4,2,2,1,2,0,1
3724,23/12/2021,1,21,35,39,44,45,42,,5,1,1,0,1,2,2
3723,20/12/2021,4,5,16,18,24,34,27,,1,5,2,2,1,1,0
3722,16/12/2021,6,26,27,37,40,43,49,40,3,3,1,0,2,2,1
3721,13/12/2021,5,18,19,23,40,49,20,,4,2,1,2,1,1,1
3720,9/12/2021,1,17,30,31,42,43,46,"42,43",4,2,1,1,1,1,2
3719,6/12/2021,7,16,33,37,42,43,48,,4,2,1,1,0,2,2
3718,2/12/2021,6,12,22,23,40,49,25,12,2,4,1,1,2,1,1
3717,29/11/2021,1,7,12,26,28,32,21,32,2,4,2,1,2,1,0
3716,25/11/2021,6,20,27,32,40,44,4,20,1,5,1,1,1,2,1
3715,22/11/2021,1,3,16,20,35,41,5,1,4,2,2,2,0,1,1
3714,18/11/2021,1,10,39,43,45,48,14,"43,48",4,2,2,0,0,1,3
3713,15/11/2021,23,27,31,34,43,48,1,48,4,2,0,0,2,2,2
3712,11/11/2021,5,7,12,35,48,49,2,"7,35",4,2,2,1,0,1,2
3711,8/11/2021,7,8,20,31,35,41,3,7,4,2,2,1,0,2,1
3710,4/11/2021,7,18,22,36,44,45,30,"7,22",2,4,1,1,1,1,2
3709,1/11/2021,7,15,22,24,26,37,9,,3,3,1,1,3,1,0
3708,28/10/2021,3,20,27,34,35,46,37,,3,3,1,1,1,2,1
3707,25/10/2021,4,18,24,40,43,47,48,43,2,4,1,1,1,1,2
3706,21/10/2021,7,22,23,25,42,43,18,23,4,2,1,0,3,0,2
3705,18/10/2021,5,23,24,27,44,49,26,24,4,2,1,0,3,0,2
3704,14/10/2021,10,15,16,24,45,47,19,10,3,3,1,2,1,0,2
3703,11/10/2021,10,26,27,36,37,43,42,27,3,3,1,0,2,2,1
3702,7/10/2021,1,27,28,39,40,49,33,"28,40",4,2,1,0,2,2,1
3701,4/10/2021,10,14,28,30,35,40,6,"14,30",1,5,1,1,2,2,0
3700,30/9/2021,5,8,14,26,30,44,47,44,1,5,2,1,2,0,1
3699,27/9/2021,20,28,33,38,40,44,49,44,1,5,0,1,1,3,1
3698,23/9/2021,9,35,41,42,43,44,29,,4,2,1,0,0,1,4
3697,20/9/2021,3,6,10,16,33,49,1,10,3,3,3,1,0,1,1
3696,16/9/2021,9,10,15,30,38,48,2,,2,4,2,1,1,1,1
3695,13/9/2021,6,25,26,41,42,44,37,42,2,4,1,0,2,0,3
3694,9/9/2021,5,19,30,33,37,42,38,33,4,2,1,1,1,2,1
3693,6/9/2021,1,15,31,32,33,44,20,,4,2,1,1,0,3,1
3692,2/9/2021,3,4,6,10,19,42,34,19,2,4,4,1,0,0,1
3691,30/8/2021,19,23,24,27,36,37,17,"24,37",4,2,0,1,3,2,0
3690,26/8/2021,5,18,24,37,38,49,35,5,3,3,1,1,1,2,1
3689,23/8/2021,5,17,26,27,31,48,4,,4,2,1,1,2,1,1
3688,19/8/2021,1,3,9,39,40,47,29,,5,1,3,0,0,2,1
3687,16/8/2021,10,21,28,31,37,38,6,,3,3,1,0,2,3,0
3686,12/8/2021,2,20,25,29,32,49,36,,3,3,1,1,2,1,1
3685,9/8/2021,15,24,33,34,36,40,18,,2,4,0,1,1,4,0
3684,5/8/2021,3,17,19,23,32,38,7,23,4,2,1,2,1,2,0
3683,2/8/2021,12,16,23,26,33,44,10,33,2,4,0,2,2,1,1
3682,29/7/2021,1,7,22,33,40,48,10,,3,3,2,0,1,2,1
3681,26/7/2021,3,8,30,34,39,46,44,,2,4,2,0,1,2,1
3680,22/7/2021,1,21,26,38,44,45,17,"21,44",3,3,1,0,2,1,2
3679,19/7/2021,4,10,21,33,42,44,19,,2,4,2,0,1,1,2
3678,15/7/2021,3,5,9,14,23,26,20,23,4,2,3,1,2,0,0
3677,12/7/2021,18,19,23,24,38,45,27,23,3,3,0,2,2,1,1
3676,8/7/2021,7,9,15,20,23,40,2,20,4,2,2,2,1,1,0
3675,5/7/2021,8,14,20,28,29,36,18,,1,5,1,2,2,1,0
3674,1/7/2021,4,5,9,17,31,34,8,31,4,2,3,1,0,2,0
3673,28/6/2021,14,31,32,33,38,47,45,,3,3,0,1,0,4,1
3672,24/6/2021,1,12,17,21,24,44,23,17,3,3,1,2,2,0,1
3671,21/6/2021,7,8,10,14,17,28,45,,2,4,3,2,1,0,0
3670,17/6/2021,5,12,15,30,38,43,33,5,3,3,1,2,1,1,1
3669,14/6/2021,5,16,23,24,28,45,40,24,3,3,1,1,3,0,1
3668,10/6/2021,1,9,15,22,24,42,10,,3,3,2,1,2,0,1
3667,7/6/2021,7,14,23,31,39,41,33,"7,39",5,1,1,1,1,2,1
3666,3/6/2021,1,7,21,26,30,39,40,30,4,2,2,0,3,1,0
3665,31/5/2021,14,15,18,19,30,44,6,,2,4,0,4,1,0,1
3664,27/5/2021,3,7,9,24,36,38,43,,3,3,3,0,1,2,0
3663,24/5/2021,11,18,23,31,32,33,49,"18,32",4,2,0,2,1,3,0
3662,20/5/2021,7,12,18,29,32,37,44,,3,3,1,2,1,2,0
3661,17/5/2021,5,6,11,36,41,46,8,5,3,3,2,1,0,1,2
3660,13/5/2021,2,4,5,16,39,47,24,,3,3,3,1,0,1,1
3659,10/5/2021,6,18,32,33,34,45,8,6,2,4,1,1,0,3,1
3658,6/5/2021,4,6,12,20,31,35,47,35,2,4,2,2,0,2,0
3657,3/5/2021,15,17,18,35,41,42,3,,4,2,0,3,0,1,2
3656,29/4/2021,2,19,22,29,36,43,5,"2,36",3,3,1,1,2,1,1
3655,26/4/2021,2,15,18,36,42,49,26,,2,4,1,2,0,1,2
3654,22/4/2021,3,17,22,32,38,48,41,17,2,4,1,1,1,2,1
3653,19/4/2021,8,10,16,17,20,43,32,10,2,4,2,3,0,0,1
3652,15/4/2021,10,14,23,25,35,46,39,23,3,3,1,1,2,1,1
3651,12/4/2021,4,23,27,43,48,49,47,,4,2,1,0,2,0,3
