Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Additional Number ,From Last,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
3766,19/5/2022,5,8,13,20,21,46,31,"21,46",3,3,2,2,1,0,1,1.0,5346307.0,7.0,78069.0,331.0,1136.0,712.0,288.0,14856.0,50.0,17820.0,25.0,242878.0,10.0
3765,16/5/2022,21,22,40,41,42,46,9,"41,46",2,4,0,0,2,1,3,0.0,0.0,1.0,336784.0,86.0,2693.0,284.0,445.0,5535.0,50.0,8646.0,25.0,106255.0,10.0
3764,12/5/2022,15,20,36,38,41,46,10,15,2,4,0,2,0,2,2,0.0,0.0,2.0,121139.0,95.0,1754.0,194.0,469.0,3928.0,50.0,5675.0,25.0,73058.0,10.0
3763,9/5/2022,5,12,15,21,30,39,6,39,4,2,1,2,2,1,0,1.0,1189046.0,5.0,50066.0,159.0,1083.0,482.0,195.0,7834.0,50.0,10850.0,25.0,117050.0,10.0
3762,5/5/2022,7,13,35,39,41,45,1,35,6,0,1,1,0,2,2,1.0,2826579.0,3.0,113058.0,107.0,2180.0,292.0,436.0,6063.0,50.0,8549.0,25.0,115244.0,10.0
3760,28/4/2022,5,6,11,16,22,37,44,"6,16",3,3,2,2,1,1,0,1.0,2756990.0,3.0,110152.0,201.0,1131.0,378.0,328.0,10301.0,50.0,9852.0,25.0,164343.0,10.0
3759,25/4/2022,6,16,26,32,39,47,23,"16,32",2,4,1,1,1,2,1,0.0,0.0,3.0,83322.0,81.0,2122.0,273.0,344.0,4349.0,50.0,7256.0,25.0,81710.0,10.0
3754,7/4/2022,1,7,10,28,31,44,9,"28,31",3,3,3,0,1,1,1,0.0,0.0,7.0,47300.0,214.0,1064.0,556.0,224.0,10184.0,50.0,16109.0,25.0,155269.0,10.0
3752,31/3/2022,1,4,10,22,24,45,47,10,2,4,3,0,2,0,1,1.0,2781896.0,3.0,111048.0,217.0,1056.0,319.0,392.0,10042.0,50.0,8531.0,25.0,155215.0,10.0
3751,28/3/2022,5,9,10,12,39,44,14,12,3,3,3,1,0,1,1,0.0,0.0,3.0,84174.0,127.0,1367.0,417.0,228.0,7934.0,50.0,9814.0,25.0,134743.0,10.0
3750,24/3/2022,3,12,15,22,34,45,2,22,3,3,1,2,1,1,1,2.0,575849.0,1.0,242463.0,98.0,1701.0,290.0,314.0,5039.0,50.0,9013.0,25.0,96486.0,10.0
3748,17/3/2022,5,7,30,42,47,49,17,"47,49",4,2,2,0,1,0,3,1.0,5321344.0,5.0,107186.0,210.0,1755.0,527.0,382.0,10901.0,50.0,16050.0,25.0,197240.0,10.0
3747,14/3/2022,19,37,38,45,47,49,25,45,5,1,0,1,0,2,3,0.0,0.0,2.0,168851.0,115.0,2019.0,288.0,440.0,6039.0,50.0,7562.0,25.0,109017.0,10.0
3745,7/3/2022,19,22,24,28,29,42,40,24,2,4,0,1,4,0,1,1.0,1226104.0,0.0,0.0,96.0,1849.0,225.0,431.0,5547.0,50.0,6138.0,25.0,98158.0,10.0
3741,21/2/2022,1,19,22,27,37,44,25,"1,19,37",4,2,1,1,2,1,1,0.0,0.0,3.0,90202.0,98.0,1899.0,254.0,400.0,5322.0,50.0,7042.0,25.0,101763.0,10.0
3740,17/2/2022,1,4,19,35,37,45,49,37,5,1,2,1,0,2,1,1.0,1296172.0,3.0,90960.0,83.0,2261.0,222.0,461.0,5034.0,50.0,6685.0,25.0,95178.0,10.0
