Location,group 1 winning frequency,group 2 winning frequency,group 1 & 2 winning frequency,Latitude,Longitude
Singapore Pools Hougang N2 Branch,11,51,62,1.359812,103.8877796
NTUC FairPrice Jurong Gateway Road,11,42,53,1.334117,103.7403709
NTUC FairPrice Clementi Avenue 3,11,32,43,1.3124814,103.7659087
Tampines Trading - 828,10,45,55,1.3487987,103.9352531
NTUC FairPrice Bedok North Street 4,8,19,27,1.3321123,103.9382333
Nan Huat Wine Store,8,37,45,1.3495283,103.8494368
Giant Sunshine Place,8,25,33,1.3779605,103.73864
Cheers Hougang Central,8,39,47,1.3715821,103.8936466
Prime Punggol Field,7,24,31,1.3963709,103.9090457
NTUC FairPrice White Sands,7,35,42,1.3724307,103.9496345
NTUC FairPrice Yishun Ring Road,6,27,33,1.4246275,103.8466717
NTUC FairPrice Serangoon North Avenue 1,6,28,34,1.3698274,103.8731096
NTUC FairPrice Bukit Merah Central,6,33,39,1.2829291,103.8175344
Metro Woodlands,6,26,32,1.4362016,103.7854854
U Stars Sumang Walk,5,2,7,1.403353,103.894994
Prime Chai Chee Road,5,14,19,1.3232119,103.9240875
NTUC FairPrice Joo Koon,5,20,25,1.3271466,103.6779931
NTUC FairPrice Havelock Road,5,6,11,1.2898277,103.8267592
NTUC FairPrice Changi Business Park,5,22,27,1.3430246,103.9528291
NTUC FairPrice Boon Lay Place,5,43,48,1.3464969,103.7121589
Nalayanee Trading Enterprise,5,16,21,1.3384496,103.8864661
Giant Parkway Parade,5,16,21,1.30121655,103.90496681277025
Cheers Haig Road,5,16,21,1.315615,103.8960412
U Stars Keat Hong Link,4,7,11,1.3778764,103.7494081
Teo Khar Bee Agency,4,26,30,1.2873559,103.8187304
Singapore Pools Ghim Moh Branch,4,21,25,1.3101014,103.7884251
Prime Keat Hong,4,19,23,1.3778535,103.744165
NTUC FairPrice Yung Kuang Road,4,15,19,1.3320147,103.7226023
NTUC FairPrice Tampines Street 44,4,15,19,1.3602084,103.9534624
NTUC FairPrice Marine Parade Central,4,12,16,1.301342,103.9071774
NTUC FairPrice Lorong 4 Toa Payoh,4,18,22,1.3388217,103.8489919
NTUC FairPrice Clementi Avenue 2,4,16,20,1.3144431,103.7711879
Sheng Siong Tanglin Halt Road,3,21,24,1.3014833,103.7985027
NTUC FairPrice Senja Road,3,10,13,1.3850202,103.7604035
NTUC FairPrice New Upper Changi Road,3,23,26,1.3245854,103.9414492
NTUC FairPrice Bukit Panjang Plaza,3,27,30,1.380491,103.7641782
Giant Pioneer Mall,3,27,30,1.3416023,103.6969558
Giant Compassvale Bow,3,18,21,1.3815806,103.8970373
Cheers Hougang Avenue 3,3,14,17,1.3647098,103.8902848
Tampines Trading - 824,2,18,20,1.3487987,103.9352531
Prime Yishun Avenue 6,2,3,5,1.4288283,103.8500035
Prime Woodlands,2,15,17,1.4458917,103.7978443
Prime Joo Seng,2,3,5,1.33399265,103.87073412175485
Prime Compassvale Street,2,19,21,1.3952215,103.8959287
NTUC FairPrice Tiong Bahru Plaza,2,21,23,1.2864697,103.8265783
NTUC FairPrice Tampines Street 11,2,8,10,1.345386,103.9454495
NTUC FairPrice Tai Seng,2,12,14,1.3364335,103.8888115
NTUC FairPrice Sengkang East Ave,2,8,10,1.3863502,103.8931925
NTUC FairPrice Kallang Bahru,2,13,15,1.3209299,103.8702956
7-Eleven Jalan Leban,2,12,14,1.3713906,103.8290006
Tuas View,1,10,11,1.3141324,103.62590920020699
Sheng Siong Sengkang West Ave,1,11,12,1.3918936,103.871457
Prime Serangoon North,1,11,12,1.3736137,103.8713274
Prime Hougang,1,4,5,1.3518731,103.8796115
NTUC FairPrice Telok Blangah Street 32,1,7,8,1.2731352,103.8090769
NTUC FairPrice Parkway Parade,1,19,20,1.30121655,103.90496681277025
NTUC FairPrice Hougang Street 21,1,20,21,1.3575602,103.8841371
NTUC FairPrice Bishan Street 13,1,12,13,1.3487949,103.8496434
NTUC FairPrice Bedok North Street 1,1,35,36,1.3257807,103.9316518
Giant Edgefield Plains,1,10,11,1.4057405,103.912079
Giant Buangkok Crescent,1,15,16,1.3809089,103.8792312
7-Eleven Erskine Rd,1,8,9,1.2811559,103.8451247
7-Eleven Balestier Rd,1,1,2,1.3224211,103.8526524
Sheng Siong Woodlands Drive 16,0,3,3,1.4311005,103.7985065
Sheng Siong Tampines Avenue 9,0,7,7,1.3610846,103.9374407
Sheng Siong Serangoon North Avenue 5,0,5,5,1.3757418,103.8718519
Sheng Siong Senja Close,0,2,2,1.3878258,103.763142
Sheng Siong Jalan Berseh  ,0,7,7,1.3079553,103.8572122
Sheng Siong Clementi Avenue 6,0,1,1,1.3221996,103.7637347
Sheng Siong Canberra Street,0,2,2,1.4489117,103.8323549
Prime Bidadari,0,1,1,1.33399265,103.87073412175485
NTUC FairPrice Killiney Road,0,17,17,1.2973182,103.8383052
NTUC FairPrice Bukit Timah Plaza,0,13,13,1.3382406,103.7783181
Cheers Northshore Plaza II,0,6,6,1.4179752,103.9013087
7-Eleven Kim Tian,0,1,1,1.2851032,103.8293522
